date,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),rain (mm),raining (s),SWDR (W/m�),PAR (�mol/m�/s),max. PAR (�mol/m�/s),Tlog (degC),OT
2020-01-01 06:40:00,1008.19,-2.63,269.9,-3.31,95.0,5.03,4.78,0.25,2.95,4.74,1295.89,0.46,0.92,199.8,0.0,0.0,0.0,0.0,0.0,9.33,438.9
2020-01-01 06:50:00,1008.21,-2.5,270.02,-3.19,95.0,5.08,4.82,0.25,2.98,4.79,1295.31,0.41,0.88,211.3,0.0,0.0,0.0,0.0,0.0,9.25,435.5
2020-01-01 07:00:00,1008.17,-2.26,270.27,-2.94,95.0,5.17,4.91,0.26,3.04,4.87,1294.04,0.95,1.76,218.2,0.0,0.0,0.0,0.0,0.0,9.17,433.3
2020-01-01 07:10:00,1008.16,-2.31,270.23,-3.09,94.3,5.15,4.86,0.29,3.0,4.82,1294.28,1.24,2.08,209.8,0.0,0.0,0.0,0.0,0.0,9.1,433.1
2020-01-01 07:20:00,1008.17,-2.53,270.0,-3.39,93.8,5.07,4.75,0.31,2.94,4.72,1295.42,1.0,1.68,188.1,0.0,0.0,0.0,0.0,0.0,9.05,435.2
2020-01-01 07:30:00,1008.13,-2.68,269.86,-3.49,94.1,5.01,4.72,0.3,2.92,4.68,1296.1,0.72,1.64,172.8,0.0,0.0,0.0,0.0,0.0,9.01,437.6
2020-01-01 07:40:00,1008.25,-2.73,269.79,-3.53,94.2,4.99,4.7,0.29,2.91,4.66,1296.52,0.47,1.22,163.5,0.0,0.0,0.0,0.0,0.0,8.99,439.0
2020-01-01 07:50:00,1008.17,-2.79,269.74,-3.57,94.3,4.97,4.69,0.28,2.9,4.65,1296.7,0.89,1.54,135.1,0.0,0.0,0.0,0.0,0.0,8.96,438.5
2020-01-01 08:00:00,1008.16,-2.84,269.69,-3.6,94.5,4.95,4.68,0.27,2.89,4.64,1296.95,1.37,2.26,131.0,0.0,0.0,0.0,1.54,2.51,8.94,436.4
2020-01-01 08:10:00,1008.12,-2.89,269.64,-3.65,94.5,4.93,4.66,0.27,2.88,4.62,1297.14,1.0,2.0,168.3,0.0,0.0,1.21,4.05,6.37,8.91,436.3
2020-01-01 08:20:00,1008.12,-3.02,269.51,-3.79,94.4,4.89,4.61,0.27,2.85,4.57,1297.79,0.36,0.72,189.8,0.0,0.0,2.21,9.85,14.67,8.89,440.8
2020-01-01 08:30:00,1008.12,-2.84,269.7,-3.56,94.7,4.95,4.69,0.26,2.9,4.65,1296.86,0.21,0.46,161.9,0.0,0.0,7.65,20.66,27.41,8.87,435.6
2020-01-01 08:40:00,1008.04,-2.91,269.63,-3.75,93.9,4.93,4.63,0.3,2.86,4.59,1297.15,0.7,1.24,196.1,0.0,0.0,18.71,36.1,45.17,8.84,433.7
2020-01-01 08:50:00,1007.96,-3.11,269.44,-3.99,93.6,4.85,4.54,0.31,2.81,4.51,1298.02,1.13,1.48,204.2,0.0,0.0,28.57,53.09,61.58,8.81,433.1
2020-01-01 09:00:00,1008.07,-3.08,269.46,-3.9,94.0,4.86,4.57,0.29,2.83,4.54,1298.02,1.02,1.92,189.6,0.0,0.0,34.21,70.27,83.01,8.81,435.2
2020-01-01 09:10:00,1008.17,-3.03,269.5,-3.89,93.8,4.88,4.58,0.3,2.83,4.54,1297.93,0.99,1.44,154.4,0.0,0.0,70.62,108.3,118.92,8.81,439.4
2020-01-01 09:20:00,1008.28,-2.95,269.58,-3.86,93.4,4.91,4.59,0.32,2.84,4.55,1297.64,0.91,1.74,157.7,0.0,0.0,89.34,132.43,146.91,8.85,441.0
2020-01-01 09:30:00,1008.2,-3.01,269.52,-3.99,92.9,4.89,4.54,0.35,2.81,4.51,1297.85,0.89,1.72,170.3,0.0,0.0,123.14,170.27,195.17,8.92,442.4
2020-01-01 09:40:00,1008.31,-2.84,269.69,-3.89,92.4,4.95,4.58,0.38,2.83,4.54,1297.15,0.63,1.12,49.94,0.0,0.0,169.62,224.71,244.79,9.05,441.8
2020-01-01 09:50:00,1008.41,-2.67,269.84,-3.71,92.5,5.02,4.64,0.38,2.87,4.6,1296.47,0.56,1.12,73.3,0.0,0.0,190.95,244.79,256.18,9.21,441.6
2020-01-01 10:00:00,1008.45,-1.93,270.58,-3.18,91.1,5.3,4.83,0.47,2.98,4.79,1292.89,0.29,0.76,124.0,0.0,0.0,210.06,274.13,285.52,9.39,442.5
2020-01-01 10:10:00,1008.5,-1.53,270.98,-3.33,87.4,5.46,4.77,0.69,2.95,4.73,1291.05,0.45,1.14,172.2,0.0,0.0,224.14,300.58,314.67,9.6,442.0
2020-01-01 10:20:00,1008.46,-1.25,271.25,-3.27,86.1,5.57,4.8,0.77,2.96,4.76,1289.7,0.47,1.2,173.3,0.0,0.0,236.82,327.03,341.31,9.85,440.9
2020-01-01 10:30:00,1008.49,-1.24,271.26,-3.25,86.1,5.58,4.8,0.78,2.97,4.76,1289.67,0.87,1.56,195.2,0.0,0.0,253.92,348.26,359.27,10.16,440.7
2020-01-01 10:40:00,1008.37,-1.32,271.19,-3.29,86.4,5.54,4.79,0.75,2.96,4.75,1289.9,0.77,1.64,200.5,0.0,0.0,277.06,370.85,379.54,10.49,441.8
2020-01-01 10:50:00,1008.36,-1.03,271.49,-3.07,85.9,5.67,4.87,0.8,3.01,4.83,1288.45,0.67,1.28,136.4,0.0,0.0,292.56,386.87,393.44,10.84,441.9
2020-01-01 11:00:00,1008.34,-1.14,271.37,-3.08,86.6,5.62,4.86,0.75,3.01,4.82,1288.99,0.78,2.04,95.7,0.0,0.0,303.02,403.28,411.39,11.18,439.4
2020-01-01 11:10:00,1008.21,-0.83,271.7,-2.89,85.8,5.75,4.93,0.82,3.05,4.89,1287.29,1.33,2.04,175.6,0.0,0.0,307.04,418.73,424.71,11.5,440.5
2020-01-01 11:20:00,1008.02,-0.65,271.89,-2.77,85.5,5.82,4.98,0.84,3.08,4.94,1286.18,1.48,2.44,181.4,0.0,0.0,303.62,433.4,441.89,11.8,438.8
2020-01-01 11:30:00,1008.03,-0.43,272.11,-2.63,85.0,5.92,5.03,0.89,3.11,4.99,1285.12,1.46,3.05,158.2,0.0,0.0,298.39,443.05,449.23,12.07,438.7
2020-01-01 11:40:00,1007.84,-0.4,272.16,-2.63,84.8,5.93,5.03,0.9,3.11,4.99,1284.73,1.24,2.56,138.7,0.0,0.0,296.38,453.28,457.34,12.33,438.5
2020-01-01 11:50:00,1007.69,-0.06,272.5,-2.41,84.1,6.08,5.11,0.97,3.16,5.07,1282.94,0.89,1.56,148.7,0.0,0.0,290.54,456.37,459.65,12.56,441.1
2020-01-01 12:00:00,1007.62,0.68,273.24,-2.03,82.0,6.42,5.26,1.15,3.25,5.22,1279.31,0.7,1.6,154.7,0.0,0.0,285.11,461.39,468.53,12.78,442.4
2020-01-01 12:10:00,1007.59,0.93,273.5,-2.03,80.5,6.53,5.26,1.27,3.25,5.22,1278.1,0.83,1.54,149.4,0.0,0.0,283.5,469.69,471.04,13.02,441.5
2020-01-01 12:20:00,1007.56,1.23,273.8,-1.8,80.1,6.68,5.35,1.33,3.31,5.31,1276.59,0.95,1.92,177.8,0.0,0.0,279.07,471.62,474.52,13.26,438.3
2020-01-01 12:30:00,1007.44,1.7,274.27,-1.66,78.3,6.91,5.41,1.5,3.35,5.37,1274.26,1.24,2.64,175.8,0.0,0.0,272.64,472.97,474.9,13.52,436.4
2020-01-01 12:40:00,1007.29,1.98,274.57,-1.52,77.5,7.05,5.46,1.59,3.38,5.42,1272.73,0.99,1.96,155.7,0.0,0.0,266.6,472.59,475.29,13.78,434.7
2020-01-01 12:50:00,1007.12,2.62,275.22,-1.29,75.3,7.38,5.56,1.82,3.44,5.52,1269.52,0.65,1.48,191.3,0.0,0.0,247.69,467.57,471.04,14.06,434.9
2020-01-02 07:20:00,1002.4,-4.94,268.04,-6.69,87.4,4.23,3.69,0.53,2.3,3.69,1300.07,0.95,2.04,55.12,0.0,0.0,0.0,0.0,0.0,7.95,445.6
2020-01-02 07:30:00,1002.4,-4.8,268.18,-6.69,86.5,4.27,3.7,0.58,2.3,3.69,1299.42,1.49,3.19,134.2,0.0,0.0,0.0,0.0,0.0,7.71,443.7
2020-01-02 07:40:00,1002.36,-4.91,268.07,-6.78,86.6,4.24,3.67,0.57,2.28,3.66,1299.89,0.94,2.24,129.4,0.0,0.0,0.0,0.0,0.0,7.49,446.4
2020-01-02 07:50:00,1002.35,-5.12,267.86,-6.88,87.4,4.17,3.64,0.53,2.26,3.63,1300.95,0.53,1.2,101.6,0.0,0.0,0.0,0.0,0.0,7.48,452.5
2020-01-02 08:00:00,1002.38,-5.13,267.84,-6.97,86.8,4.17,3.62,0.55,2.25,3.61,1301.04,0.59,0.96,125.8,0.0,0.0,0.0,1.35,2.51,8.19,451.0
2020-01-02 08:10:00,1002.36,-5.58,267.4,-7.29,87.6,4.03,3.53,0.5,2.19,3.52,1303.2,1.09,2.02,109.0,0.0,0.0,0.0,3.67,5.79,9.1,451.7
2020-01-02 08:20:00,1002.35,-5.66,267.32,-7.0,90.2,4.0,3.61,0.39,2.24,3.6,1303.58,0.51,1.72,49.77,0.0,0.0,2.01,9.27,13.32,9.46,453.2
2020-01-02 08:30:00,1002.27,-5.44,267.55,-6.75,90.4,4.07,3.68,0.39,2.29,3.67,1302.33,0.46,1.44,199.2,0.0,0.0,23.14,19.88,27.03,9.39,453.5
2020-01-02 08:40:00,1002.18,-4.73,268.26,-6.47,87.5,4.3,3.76,0.54,2.34,3.75,1298.75,0.74,1.88,172.0,0.0,0.0,47.69,35.14,44.21,9.13,445.2
2020-01-02 08:50:00,1002.21,-4.44,268.55,-6.65,84.4,4.39,3.71,0.69,2.3,3.7,1297.4,0.93,1.52,175.7,0.0,0.0,67.4,55.41,66.8,8.85,443.5
2020-01-02 09:00:00,1002.19,-4.39,268.6,-6.71,83.7,4.41,3.69,0.72,2.29,3.68,1297.16,0.66,1.32,148.2,0.0,0.0,85.51,80.12,93.44,8.63,447.1
2020-01-02 09:10:00,1002.25,-4.71,268.28,-6.98,84.0,4.3,3.61,0.69,2.25,3.6,1298.82,1.16,2.48,139.9,0.0,0.0,103.02,108.3,122.97,8.51,457.3
2020-01-02 09:20:00,1002.19,-4.68,268.31,-6.62,86.2,4.31,3.72,0.6,2.31,3.71,1298.53,0.53,1.44,154.7,0.0,0.0,120.12,139.19,155.21,8.48,459.1
2020-01-02 09:30:00,1002.05,-4.13,268.87,-6.58,82.9,4.5,3.73,0.77,2.32,3.72,1295.69,0.86,2.06,158.0,0.0,0.0,144.27,172.01,188.8,8.53,457.2
2020-01-02 09:40:00,1002.01,-4.07,268.93,-6.54,82.8,4.51,3.74,0.78,2.32,3.73,1295.37,1.22,2.89,144.7,0.0,0.0,180.28,205.02,221.24,8.62,455.3
2020-01-02 09:50:00,1002.0,-4.04,268.97,-6.51,82.8,4.53,3.75,0.78,2.33,3.74,1295.19,1.24,2.36,142.2,0.0,0.0,218.91,238.03,255.02,8.76,457.0
2020-01-02 10:00:00,1001.81,-4.16,268.86,-6.5,83.6,4.49,3.75,0.74,2.33,3.74,1295.51,0.94,1.76,148.0,0.0,0.0,256.34,271.43,287.45,8.93,459.2
2020-01-02 10:10:00,1001.66,-3.81,269.23,-6.11,83.9,4.61,3.86,0.74,2.4,3.86,1293.59,1.13,1.72,186.9,0.0,0.0,284.1,302.9,317.18,9.14,463.1
2020-01-02 10:20:00,1001.66,-3.53,269.51,-5.88,83.6,4.7,3.93,0.77,2.45,3.93,1292.2,0.74,1.32,191.8,0.0,0.0,305.23,331.66,345.75,9.37,466.5
2020-01-02 10:30:00,1001.57,-3.02,270.02,-5.74,81.4,4.89,3.98,0.91,2.47,3.97,1289.66,1.33,2.97,180.6,0.0,0.0,321.73,357.53,368.73,9.64,459.3
2020-01-02 10:40:00,1001.52,-2.78,270.26,-5.7,80.2,4.98,3.99,0.99,2.48,3.98,1288.43,0.79,1.58,135.7,0.0,0.0,341.05,381.66,394.79,9.93,453.6
2020-01-02 10:50:00,1001.42,-1.87,271.18,-5.34,77.0,5.32,4.1,1.22,2.55,4.09,1283.93,1.11,2.04,204.0,0.0,0.0,358.35,411.0,426.64,10.23,450.3
2020-01-02 11:00:00,1001.32,-1.24,271.81,-5.31,73.7,5.58,4.11,1.47,2.56,4.1,1280.83,1.19,2.52,207.6,0.0,0.0,377.06,441.12,457.34,10.53,449.4
2020-01-02 11:10:00,1001.39,-0.91,272.14,-5.17,72.7,5.71,4.15,1.56,2.58,4.15,1279.33,0.95,1.96,214.2,0.0,0.0,387.12,462.55,468.53,10.84,451.4
2020-01-02 11:20:00,1001.38,-0.56,272.49,-5.07,71.4,5.86,4.19,1.68,2.6,4.18,1277.66,1.04,2.93,168.7,0.0,0.0,386.92,455.21,458.3,11.14,452.8
2020-01-02 11:30:00,1001.18,-0.59,272.48,-5.1,71.4,5.85,4.18,1.67,2.6,4.17,1277.55,0.84,2.68,105.2,0.0,0.0,381.09,461.0,466.02,11.43,451.2
2020-01-02 11:40:00,1001.01,-0.19,272.89,-4.93,70.2,6.02,4.23,1.8,2.63,4.22,1275.44,0.77,2.08,184.8,0.0,0.0,376.26,469.88,474.9,11.71,448.4
2020-01-02 11:50:00,1000.87,0.48,273.57,-4.85,67.31,6.32,4.26,2.07,2.65,4.25,1272.14,1.01,2.32,233.3,0.0,0.0,368.41,477.41,480.69,11.96,447.1
2020-01-02 12:00:00,1000.7,1.06,274.17,-4.72,65.15,6.6,4.3,2.3,2.68,4.29,1269.18,1.67,2.44,232.1,0.0,0.0,357.75,483.59,486.29,12.2,445.3
2020-01-02 12:10:00,1000.49,1.8,274.92,-4.79,61.45,6.96,4.28,2.68,2.66,4.27,1265.52,1.71,2.48,221.5,0.0,0.0,338.03,485.52,487.64,12.45,445.7
2020-01-02 12:20:00,1000.23,1.92,275.06,-4.63,61.68,7.02,4.33,2.69,2.7,4.33,1264.63,1.96,2.96,199.2,0.0,0.0,318.51,483.78,485.33,12.7,441.9
2020-01-02 12:30:00,1000.03,2.72,275.88,-4.24,59.96,7.43,4.46,2.98,2.78,4.46,1260.62,1.56,2.6,199.7,0.0,0.0,298.59,483.2,485.13,12.97,440.7
2020-01-02 12:40:00,999.8,3.47,276.65,-3.93,58.23,7.84,4.56,3.27,2.84,4.57,1256.87,1.29,2.52,190.7,0.0,0.0,274.45,479.34,482.43,13.27,440.4
2020-01-02 12:50:00,999.66,4.37,277.56,-3.76,55.33,8.35,4.62,3.73,2.88,4.62,1252.6,1.31,2.4,207.6,0.0,0.0,251.31,471.04,476.06,13.6,440.7
2020-01-02 13:00:00,999.58,4.98,278.17,-3.81,52.83,8.71,4.6,4.11,2.87,4.61,1249.78,1.01,2.1,201.3,0.0,0.0,232.8,461.78,465.64,13.98,436.8
2020-01-02 13:10:00,999.46,5.58,278.78,-3.84,50.54,9.09,4.59,4.49,2.86,4.6,1246.93,1.86,2.78,149.6,0.0,0.0,229.18,452.7,458.3,14.42,435.3
2020-01-02 13:20:00,999.3,5.73,278.94,-3.25,52.29,9.18,4.8,4.38,2.99,4.81,1245.96,1.32,2.38,189.5,0.0,0.0,221.93,438.03,445.56,14.91,439.8
2020-01-02 13:30:00,999.16,6.06,279.29,-2.83,52.72,9.4,4.95,4.44,3.09,4.96,1244.24,1.17,2.44,184.3,0.0,0.0,213.48,422.59,429.15,15.43,439.3
2020-01-02 13:40:00,999.06,6.47,279.7,-2.31,53.29,9.67,5.15,4.52,3.21,5.16,1242.21,1.02,2.42,189.9,0.0,0.0,205.84,405.98,415.44,15.96,439.0
2020-01-02 13:50:00,998.98,6.47,279.72,-2.18,53.8,9.67,5.2,4.47,3.25,5.21,1242.05,1.29,2.48,173.9,0.0,0.0,196.18,385.33,394.79,16.49,438.9
2020-01-02 14:00:00,998.88,6.22,279.47,-2.02,55.42,9.5,5.27,4.24,3.29,5.27,1243.03,1.04,2.16,180.4,0.0,0.0,184.71,363.51,375.68,17.0,438.6
2020-01-02 14:10:00,998.9,5.88,279.13,-1.7,58.09,9.28,5.39,3.89,3.36,5.4,1244.51,1.47,3.36,179.3,0.0,0.0,172.84,340.15,350.0,17.49,438.9
2020-01-02 14:20:00,998.87,5.71,278.96,-1.41,60.07,9.17,5.51,3.66,3.44,5.52,1245.18,1.1,3.0,172.4,0.0,0.0,160.16,315.06,327.41,17.93,437.7
2020-01-02 14:30:00,998.81,5.91,279.17,-1.26,59.87,9.3,5.57,3.73,3.47,5.58,1244.18,1.59,3.12,164.6,0.0,0.0,146.48,286.29,300.77,18.32,436.4
2020-01-02 14:40:00,998.71,5.7,278.97,-1.26,60.77,9.17,5.57,3.6,3.48,5.58,1244.98,1.8,3.2,193.7,0.0,0.0,133.2,255.41,270.27,18.65,436.8
2020-01-02 14:50:00,998.69,5.41,278.68,-1.36,61.54,8.98,5.53,3.46,3.45,5.54,1246.26,1.61,2.74,194.6,0.0,0.0,118.71,224.13,239.77,18.92,434.5
2020-01-02 15:00:00,998.65,5.66,278.92,-1.42,60.22,9.14,5.5,3.63,3.43,5.51,1245.15,2.44,3.57,195.8,0.0,0.0,104.63,194.59,208.49,19.1,432.3
2020-01-02 15:10:00,998.66,5.77,279.04,-1.39,59.89,9.21,5.52,3.69,3.44,5.52,1244.63,1.82,2.92,184.9,0.0,0.0,88.33,164.48,179.92,19.21,432.3
2020-01-02 15:20:00,998.66,5.61,278.87,-1.28,61.08,9.11,5.56,3.54,3.47,5.57,1245.36,1.3,2.0,189.7,0.0,0.0,68.41,133.4,148.07,19.25,434.5
2020-01-02 15:30:00,998.75,5.47,278.73,-1.25,61.8,9.02,5.57,3.44,3.48,5.58,1246.09,0.87,1.92,167.4,0.0,0.0,49.09,105.21,117.57,19.23,434.5
2020-01-02 15:40:00,998.82,5.49,278.74,-1.25,61.73,9.03,5.57,3.46,3.48,5.58,1246.09,1.62,2.96,177.7,0.0,0.0,31.79,80.31,91.51,19.18,434.5
2020-01-02 15:50:00,998.94,4.96,278.21,-1.33,63.64,8.71,5.54,3.17,3.46,5.55,1248.59,1.39,2.48,170.3,0.0,0.0,19.72,57.72,68.73,19.09,435.9
2020-01-02 16:00:00,998.97,4.28,277.52,-1.39,66.44,8.3,5.51,2.78,3.44,5.52,1251.72,0.94,1.76,172.8,0.0,0.0,10.46,38.03,45.17,18.95,437.8
2020-01-02 16:10:00,999.12,3.69,276.92,-1.51,68.68,7.96,5.47,2.49,3.41,5.47,1254.59,1.04,2.08,150.8,0.0,0.0,6.04,24.52,31.08,18.73,438.2
2020-01-02 16:20:00,999.13,3.36,276.59,-1.55,70.1,7.78,5.45,2.33,3.4,5.46,1256.11,0.94,2.0,78.4,0.0,0.0,1.81,12.93,18.34,18.43,437.9
2020-01-02 16:30:00,999.28,3.25,276.47,-1.67,69.98,7.72,5.4,2.32,3.37,5.41,1256.8,1.26,2.68,15.47,0.0,0.0,0.0,5.21,8.3,18.06,436.7
2020-01-02 16:40:00,999.39,3.18,276.39,-1.88,69.27,7.68,5.32,2.36,3.32,5.32,1257.31,1.77,2.64,358.8,0.0,0.0,0.0,1.74,2.9,17.62,437.5
2020-01-02 16:50:00,999.44,3.06,276.26,-1.76,70.5,7.61,5.37,2.25,3.35,5.37,1257.92,2.11,2.8,7.0,0.0,0.0,0.0,0.0,1.35,17.11,441.1
